,id,usa_prices
0,1001,5.63
1,1002,9.87
2,1003,4.93
3,1004,7.4
4,1005,9.87
5,1006,7.89
6,1007,2.8
7,1008,9.87
8,1009,15.11
9,1010,9.87
10,1011,9.87
11,1012,14.51
12,1013,14.51
13,1014,9.87
14,1015,13.15
15,1016,5.62
16,1017,14.51
17,1018,10.06
18,1019,15.11
19,1020,12.07
20,1021,7.4
21,1022,11.51
22,1023,8.22
23,1024,5.64
24,1025,9.87
25,1026,5.63
26,1027,15.11
27,1028,5.64
28,1029,9.87
29,1030,2.8
30,1031,5.63
31,1032,4.5
32,1033,8.45
33,1034,7.89
34,1035,6.03
35,1036,3.42
36,1037,5.62
37,1038,6.92
38,1039,10.06
39,1040,8.04
40,1041,12.07
41,1042,3.67
42,1043,3.67
43,1044,4.93
44,1045,14.08
45,1046,3.67
46,1047,7.4
47,1048,2.8
48,1049,2.8
49,1050,7.89
50,1051,3.2
51,1052,12.09
52,1053,6.92
53,1054,3.89
54,1055,15.11
55,1056,6.21
56,1057,14.08
57,1058,2.8
58,1059,5.35
59,1060,7.04
60,1061,8.45
61,1062,8.46
62,1063,3.2
63,1064,1.41
64,1065,9.87
65,1066,5.35
66,1067,5.63
67,1068,7.04
68,1069,3.67
69,1070,3.2
70,1071,2.31
71,1072,0.91
72,1073,2.31
73,1074,9.88
74,1075,2.41
75,1076,8.49
76,1077,10.88
77,1078,8.17
78,1079,1.35
79,1080,6.39
80,1081,7.05
81,1082,10.88
82,1083,7.05
83,1084,7.05
84,1085,8.22
85,1086,4.93
86,1087,2.8
87,1088,3.67
88,1089,8.46
89,1090,3.67
90,1091,14.1
91,1092,8.22
92,1093,2.8
93,1094,11.42
94,1095,7.04
95,1096,2.8
96,1097,3.87
97,1098,3.67
98,1099,7.04
99,1100,8.45
100,1101,0.91
101,1102,3.89
102,1103,6.85
103,1104,5.63
104,1105,5.63
105,1106,3.67
106,1107,7.4
107,1108,3.2
108,1109,3.67
109,1110,3.89
110,1111,10.06
111,1112,7.4
112,1113,4.79
113,1114,4.23
114,1115,3.67
115,1116,1.97
116,1117,3.67
117,1118,0.91
118,1119,12.07
119,1120,7.89
120,1121,2.82
121,1122,3.67
122,1123,3.67
123,1124,3.65
124,1125,4.93
125,1126,3.89
126,1127,3.42
127,1128,6.92
128,1129,6.85
129,1130,0.38
130,1131,2.0
131,1132,2.82
132,1133,3.67
133,1134,3.67
134,1135,0.46
135,1136,0.9
136,1137,5.64
137,1138,4.93
138,1139,0.91
139,1140,0.38
140,1141,4.93
141,1142,12.09
142,1143,7.4
143,1144,5.63
144,1145,9.61
145,1146,7.99
146,1147,6.85
147,1148,7.04
148,1149,2.0
149,1150,2.82
150,1151,7.4
151,1152,4.93
152,1153,0.46
153,1154,0.46
154,1155,0.46
155,1156,0.46
156,1157,2.45
157,1158,4.93
158,1159,6.83
159,1160,6.85
160,1161,14.1
161,1162,8.46
162,1163,0.38
163,1164,2.0
164,1165,2.24
165,1166,9.59
166,1167,3.67
167,1168,1.19
168,1169,0.78
169,1170,0.78
170,1171,3.61
171,1172,0.38
172,1173,4.79
173,1174,1.36
174,1175,5.64
175,1176,5.93
176,1177,6.89
177,1178,5.63
