,id,rating,number_of_ratings
0,1001,5.0,34
1,1002,4.5,41
2,1003,4.5,38
3,1004,4.5,12
4,1005,4.5,181
5,1006,5.0,72
6,1007,5.0,11
7,1008,5.0,50
8,1009,5.0,5
9,1010,5.0,58
10,1011,4.5,130
11,1012,5.0,6
12,1013,5.0,7
13,1014,5.0,41
14,1015,4.0,2
15,1016,4.5,33
16,1017,5.0,7
17,1018,5.0,20
18,1019,5.0,11
19,1020,5.0,13
20,1021,5.0,79
21,1022,4.5,47
22,1023,5.0,27
23,1024,4.5,25
24,1025,5.0,101
25,1026,5.0,15
26,1027,5.0,3
27,1028,5.0,18
28,1029,4.5,37
29,1030,5.0,9
30,1031,5.0,8
31,1032,5.0,5
32,1033,5.0,8
33,1034,5.0,8
34,1035,,0
35,1036,4.5,10
36,1037,4.0,28
37,1038,5.0,9
38,1039,5.0,18
39,1040,5.0,7
40,1041,5.0,19
41,1042,4.5,25
42,1043,5.0,11
43,1044,4.0,16
44,1045,5.0,12
45,1046,4.5,16
46,1047,4.0,4
47,1048,5.0,10
48,1049,5.0,7
49,1050,5.0,17
50,1051,,0
51,1052,,0
52,1053,5.0,9
53,1054,4.5,4
54,1055,5.0,8
55,1056,5.0,0
56,1057,5.0,14
57,1058,5.0,5
58,1059,5.0,0
59,1060,5.0,5
60,1061,5.0,6
61,1062,,0
62,1063,,0
63,1064,,0
64,1065,5.0,11
65,1066,5.0,9
66,1067,5.0,4
67,1068,5.0,8
68,1069,5.0,3
69,1070,,0
70,1071,,0
71,1072,,0
72,1073,,0
73,1074,,0
74,1075,,0
75,1076,,0
76,1077,,0
77,1078,,0
78,1079,,0
79,1080,,0
80,1081,,0
81,1082,,0
82,1083,,0
83,1084,5.0,0
84,1085,5.0,17
85,1086,3.5,7
86,1087,5.0,5
87,1088,5.0,2
88,1089,,0
89,1090,5.0,4
90,1091,,0
91,1092,,0
92,1093,5.0,4
93,1094,5.0,7
94,1095,,0
95,1096,5.0,4
96,1097,4.5,3
97,1098,,0
98,1099,5.0,2
99,1100,,0
100,1101,,0
101,1102,,0
102,1103,4.5,21
103,1104,5.0,6
104,1105,5.0,9
105,1106,4.0,0
106,1107,,0
107,1108,5.0,0
108,1109,5.0,2
109,1110,,0
110,1111,3.0,5
111,1112,,0
112,1113,,0
113,1114,,0
114,1115,5.0,6
115,1116,5.0,0
116,1117,5.0,3
117,1118,,0
118,1119,5.0,0
119,1120,,0
120,1121,,0
121,1122,5.0,10
122,1123,5.0,12
123,1124,5.0,7
124,1125,,0
125,1126,5.0,5
126,1127,4.5,20
127,1128,5.0,9
128,1129,5.0,2
129,1130,,0
130,1131,,0
131,1132,,0
132,1133,5.0,0
133,1134,5.0,3
134,1135,,0
135,1136,,0
136,1137,,0
137,1138,4.5,2
138,1139,,0
139,1140,4.0,4
140,1141,,0
141,1142,5.0,0
142,1143,,0
143,1144,,0
144,1145,,0
145,1146,,0
146,1147,,0
147,1148,,0
148,1149,,0
149,1150,,0
150,1151,,0
151,1152,,0
152,1153,,0
153,1154,,0
154,1155,,0
155,1156,,0
156,1157,,0
157,1158,,0
158,1159,,0
159,1160,,0
160,1161,,0
161,1162,,0
162,1163,,0
163,1164,,0
164,1165,,0
165,1166,4.5,2
166,1167,,0
167,1168,,0
168,1169,,0
169,1170,,0
170,1171,,0
171,1172,,0
172,1173,,0
173,1174,,0
174,1175,,0
175,1176,,0
176,1177,,0
177,1178,,0
178,1179,,0
179,1180,,0
180,1181,,0
181,1182,,0
182,1183,,0
183,1184,5.0,3
184,1185,,0
185,1186,5.0,0
186,1187,,0
187,1188,,0
188,1189,,0
189,1190,,0
190,1191,,0
191,1192,,0
192,1193,,0
193,1194,,0
194,1195,5.0,10
195,1196,5.0,5
196,1197,,0
197,1198,,0
198,1199,5.0,3
199,1200,5.0,5
200,1201,,0
201,1202,,0
202,1203,,0
203,1204,,0
204,1205,,0
205,1206,,0
206,1207,,0
207,1208,,0
208,1209,,0
209,1210,,0
210,1211,,0
211,1212,,0
212,1213,,0
213,1214,,0
214,1215,,0
215,1216,,0
216,1217,,0
217,1218,4.0,2
218,1219,,0
219,1220,5.0,9
220,1221,5.0,0
221,1222,4.5,7
222,1223,4.5,3
223,1224,,0
224,1225,5.0,5
225,1226,5.0,0
226,1227,4.5,14
227,1228,4.5,13
228,1229,4.5,14
229,1230,,0
230,1231,5.0,0
231,1232,5.0,3
232,1233,4.5,3
233,1234,4.5,11
234,1235,5.0,6
235,1236,,0
236,1237,,0
237,1238,,0
238,1239,,0
239,1240,,0
240,1241,,0
241,1242,,0
242,1243,,0
243,1244,,0
244,1245,,0
245,1246,,0
246,1247,,0
247,1248,,0
248,1249,,0
249,1250,,0
250,1251,,0
251,1252,,0
252,1253,,0
253,1254,,0
254,1255,,0
255,1256,,0
256,1257,,0
257,1258,,0
258,1259,,0
259,1260,,0
260,1261,,0
261,1262,,0
262,1263,,0
263,1264,,0
264,1265,,0
265,1266,,0
266,1267,,0
267,1268,,0
268,1269,,0
269,1270,,0
270,1271,,0
271,1272,,0
272,1273,,0
273,1274,,0
274,1275,,0
275,1276,,0
276,1277,,0
277,1278,,0
278,1279,,0
279,1280,,0
280,1281,,0
281,1282,,0
282,1283,,0
283,1284,,0
284,1285,,0
285,1286,,0
286,1287,,0
287,1288,,0
288,1289,,0
289,1290,,0
290,1291,,0
291,1292,,0
292,1293,,0
293,1294,,0
294,1295,,0
295,1296,,0
296,1297,,0
297,1298,,0
298,1299,,0
299,1300,,0
300,1301,,0
301,1302,,0
302,1303,,0
303,1304,,0
304,1305,,0
305,1306,,0
306,1307,,0
307,1308,,0
308,1309,5.0,7
309,1310,,0
310,1311,5.0,0
311,1312,4.0,0
312,1313,,0
313,1314,,0
314,1315,,0
315,1316,,0
316,1317,,0
317,1318,,0
318,1319,,0
319,1320,5.0,0
320,1321,,0
321,1322,4.0,0
322,1323,,0
323,1324,,0
324,1325,5.0,0
325,1326,,0
326,1327,,0
327,1328,5.0,7
328,1329,,0
329,1330,5.0,8
330,1331,4.5,2
331,1332,4.5,4
332,1333,4.5,8
333,1334,5.0,0
334,1335,5.0,7
335,1336,5.0,5
336,1337,,0
337,1338,4.0,0
338,1339,,0
339,1340,4.5,11
340,1341,4.5,17
341,1342,5.0,11
342,1343,,0
343,1344,5.0,0
344,1345,,0
345,1346,,0
346,1347,,0
347,1348,5.0,4
348,1349,4.0,4
349,1350,4.5,7
350,1351,5.0,7
351,1352,,0
352,1353,,0
353,1354,4.0,0
354,1355,5.0,0
355,1356,5.0,0
356,1357,5.0,4
357,1358,,0
358,1359,,0
359,1360,,0
360,1361,4.5,5
361,1362,5.0,6
362,1363,,0
363,1364,,0
364,1365,,0
365,1366,,0
366,1367,,0
367,1368,,0
368,1369,,0
369,1370,,0
370,1371,,0
371,1372,,0
372,1373,,0
373,1374,,0
374,1375,,0
375,1376,,0
376,1377,,0
377,1378,,0
378,1379,,0
379,1380,,0
380,1381,,0
381,1382,,0
382,1383,,0
383,1384,,0
384,1385,,0
385,1386,,0
386,1387,,0
387,1388,,0
388,1389,,0
389,1390,,0
390,1391,,0
391,1392,,0
392,1393,,0
393,1394,,0
394,1395,,0
395,1396,,0
396,1397,,0
397,1398,,0
398,1399,,0
399,1400,,0
400,1401,,0
401,1402,,0
402,1403,,0
403,1404,,0
404,1405,,0
405,1406,,0
406,1407,,0
407,1408,,0
408,1409,,0
409,1410,,0
410,1411,,0
411,1412,,0
412,1413,,0
413,1414,,0
414,1415,,0
415,1416,,0
416,1417,,0
417,1418,,0
418,1419,,0
419,1420,,0
420,1421,,0
421,1422,,0
422,1423,,0
423,1424,,0
424,1425,,0
425,1426,,0
426,1427,,0
427,1428,,0
428,1429,,0
429,1430,,0
430,1431,,0
431,1432,,0
432,1433,,0
433,1434,,0
434,1435,,0
435,1436,,0
436,1437,,0
437,1438,,0
438,1439,,0
439,1440,,0
440,1441,,0
441,1442,,0
442,1443,,0
443,1444,,0
444,1445,,0
445,1446,,0
446,1447,,0
447,1448,,0
448,1449,,0
449,1450,,0
450,1451,,0
451,1452,,0
452,1453,,0
453,1454,,0
454,1455,,0
455,1456,,0
456,1457,,0
