id,usa_prices
1001,5.63
1002,9.87
1003,4.93
1004,7.4
1005,9.87
1006,7.89
1007,2.8
1008,9.87
1009,15.11
1010,9.87
1011,9.87
1012,14.51
1013,14.51
1014,9.87
1015,13.15
1016,5.62
1017,14.51
1018,10.06
1019,15.11
1020,12.07
1021,7.4
1022,11.51
1023,8.22
1024,5.64
1025,9.87
1026,5.63
1027,15.11
1028,5.64
1029,9.87
1030,2.8
1031,5.63
1032,4.5
1033,8.45
1034,7.89
1035,6.03
1036,3.42
1037,5.62
1038,6.92
1039,10.06
1040,8.04
1041,12.07
1042,3.67
1043,3.67
1044,4.93
1045,14.08
1046,3.67
1047,7.4
1048,2.8
1049,2.8
1050,7.89
1051,3.2
1052,12.09
1053,6.92
1054,3.89
1055,15.11
1056,6.21
1057,14.08
1058,2.8
1059,5.35
1060,7.04
1061,8.45
1062,8.46
1063,3.2
1064,1.41
1065,9.87
1066,5.35
1067,5.63
1068,7.04
1069,3.67
1070,3.2
1071,2.31
1072,0.91
1073,2.31
1074,9.88
1075,2.41
1076,8.49
1077,10.88
1078,8.17
1079,1.35
1080,6.39
1081,7.05
1082,10.88
1083,7.05
1084,7.05
1085,8.22
1086,4.93
1087,2.8
1088,3.67
1089,8.46
1090,3.67
1091,14.1
1092,8.22
1093,2.8
1094,11.42
1095,7.04
1096,2.8
1097,3.87
1098,3.67
1099,7.04
1100,8.45
1101,0.91
1102,3.89
1103,6.85
1104,5.63
1105,5.63
1106,3.67
1107,7.4
1108,3.2
1109,3.67
1110,3.89
1111,10.06
1112,7.4
1113,4.79
1114,4.23
1115,3.67
1116,1.97
1117,3.67
1118,0.91
1119,12.07
1120,7.89
1121,2.82
1122,3.67
1123,3.67
1124,3.65
1125,4.93
1126,3.89
1127,3.42
1128,6.92
1129,6.85
1130,0.38
1131,2.0
1132,2.82
1133,3.67
1134,3.67
1135,0.46
1136,0.9
1137,5.64
1138,4.93
1139,0.91
1140,0.38
1141,4.93
1142,12.09
1143,7.4
1144,5.63
1145,9.61
1146,7.99
1147,6.85
1148,7.04
1149,2.0
1150,2.82
1151,7.4
1152,4.93
1153,0.46
1154,0.46
1155,0.46
1156,0.46
1157,2.45
1158,4.93
1159,6.83
1160,6.85
1161,14.1
1162,8.46
1163,0.38
1164,2.0
1165,2.24
1166,9.59
1167,3.67
1168,1.19
1169,0.78
1170,0.78
1171,3.61
1172,0.38
1173,4.79
1174,1.36
1175,5.64
1176,5.93
1177,6.89
1178,5.63
1179,9.13
1180,4.42
